,y,x
0,4302982867.677277,0.0
1,4300642396.86405,0.011111111111111112
2,4299206412.550405,0.022222222222222223
3,4298158485.529454,0.03333333333333333
4,4299138793.92569,0.044444444444444446
5,4299619109.217871,0.05555555555555556
6,4301243181.510041,0.06666666666666667
7,4303119157.533249,0.07777777777777778
8,4305444346.534016,0.08888888888888889
9,4307878656.931298,0.1
10,4311208140.620266,0.11111111111111112
11,4315273620.828211,0.12222222222222223
12,4319004692.227355,0.13333333333333333
13,4323121645.209573,0.14444444444444446
14,4328018691.876946,0.15555555555555556
15,4333290532.481383,0.16666666666666669
16,4337856510.374064,0.17777777777777778
17,4342480959.871418,0.18888888888888888
18,4346772801.532117,0.2
19,4351036089.767125,0.2111111111111111
20,4355323017.532575,0.22222222222222224
21,4358515088.737614,0.23333333333333334
22,4361397238.066491,0.24444444444444446
23,4363583934.808652,0.2555555555555556
24,4365153694.257647,0.26666666666666666
25,4366506807.574695,0.2777777777777778
26,4367431228.533014,0.2888888888888889
27,4367728312.020964,0.3
28,4367700896.752186,0.3111111111111111
29,4367560440.627995,0.32222222222222224
30,4366832341.591939,0.33333333333333337
31,4366307180.104841,0.34444444444444444
32,4365517601.689528,0.35555555555555557
33,4364553681.299703,0.3666666666666667
34,4362610980.528655,0.37777777777777777
35,4360542407.394032,0.3888888888888889
36,4357463888.740327,0.4
37,4354012943.532432,0.41111111111111115
38,4349759600.140296,0.4222222222222222
39,4345645977.884046,0.43333333333333335
40,4340815967.956507,0.4444444444444445
41,4335965419.727443,0.45555555555555555
42,4331497587.631009,0.4666666666666667
43,4327178349.330625,0.4777777777777778
44,4323144210.014786,0.48888888888888893
45,4318603664.145598,0.5
46,4315001071.178395,0.5111111111111112
47,4311583440.661263,0.5222222222222223
48,4308708123.321365,0.5333333333333333
49,4306890339.795809,0.5444444444444445
50,4305339040.644521,0.5555555555555556
51,4304282311.838901,0.5666666666666667
52,4304434911.683518,0.5777777777777778
53,4305136362.14434,0.5888888888888889
54,4306929260.543023,0.6
55,4308753912.597875,0.6111111111111112
56,4310923652.533774,0.6222222222222222
57,4313221537.969665,0.6333333333333333
58,4315761474.166569,0.6444444444444445
59,4318430670.399658,0.6555555555555556
60,4321584406.714659,0.6666666666666667
61,4324652788.99679,0.6777777777777778
62,4327162409.656573,0.6888888888888889
63,4330118373.153075,0.7000000000000001
64,4333069978.326006,0.7111111111111111
65,4335958546.847906,0.7222222222222222
66,4338571704.432471,0.7333333333333334
67,4340882194.127879,0.7444444444444445
68,4342434327.32018,0.7555555555555555
69,4344181947.147377,0.7666666666666667
70,4345560543.118449,0.7777777777777778
71,4346434107.716172,0.788888888888889
72,4347498345.132328,0.8
73,4347959760.570882,0.8111111111111111
74,4348106881.075409,0.8222222222222223
75,4348118274.350244,0.8333333333333334
76,4347408604.787418,0.8444444444444444
77,4346100166.429556,0.8555555555555556
78,4344192287.562289,0.8666666666666667
79,4342184325.783051,0.8777777777777778
80,4339298617.862022,0.888888888888889
81,4335921676.893726,0.9
82,4331747994.534882,0.9111111111111111
83,4327513531.0817,0.9222222222222223
84,4323200425.775824,0.9333333333333333
85,4318584876.238469,0.9444444444444445
86,4314805070.8510475,0.9555555555555556
87,4311476493.417865,0.9666666666666667
88,4308179688.324042,0.9777777777777779
89,4305384747.687792,0.9888888888888889
