,y,x
0,4864399793.032932,0.0
1,4864596236.9914255,0.011111111111111112
2,4865003936.952646,0.022222222222222223
3,4865325726.1518,0.03333333333333333
4,4865574765.638549,0.044444444444444446
5,4865804344.658403,0.05555555555555556
6,4865851297.124303,0.06666666666666667
7,4865930555.935042,0.07777777777777778
8,4866008500.264387,0.08888888888888889
9,4866249518.283799,0.1
10,4866551728.577003,0.11111111111111112
11,4867063373.507697,0.12222222222222223
12,4867777321.864409,0.13333333333333333
13,4868514222.254136,0.14444444444444446
14,4869348113.152525,0.15555555555555556
15,4869922998.850475,0.16666666666666669
16,4870183492.750651,0.17777777777777778
17,4870012218.020668,0.18888888888888888
18,4869323227.584164,0.2
19,4868231878.673688,0.2111111111111111
20,4867118576.822719,0.22222222222222224
21,4866175549.650553,0.23333333333333334
22,4865307148.547412,0.24444444444444446
23,4864770979.223293,0.2555555555555556
24,4864615564.357963,0.26666666666666666
25,4864607481.188706,0.2777777777777778
26,4864604236.330573,0.2888888888888889
27,4864234082.225107,0.3
28,4863753058.654205,0.3111111111111111
29,4863518065.692389,0.32222222222222224
30,4863544939.603926,0.33333333333333337
31,4863866669.628826,0.34444444444444444
32,4864546820.676692,0.35555555555555557
33,4865376524.452717,0.3666666666666667
34,4865987719.9535885,0.37777777777777777
35,4866183390.269212,0.3888888888888889
36,4865735249.052008,0.4
37,4864899473.5223255,0.41111111111111115
38,4863901718.557679,0.4222222222222222
39,4862890405.415567,0.43333333333333335
40,4862014946.977686,0.4444444444444445
41,4861411159.328279,0.45555555555555555
42,4861138392.9542465,0.4666666666666667
43,4861312280.509707,0.4777777777777778
44,4861660535.214161,0.48888888888888893
45,4861868279.554745,0.5
46,4861931675.586376,0.5111111111111112
47,4861752944.745819,0.5222222222222223
48,4861422282.212527,0.5333333333333333
49,4860912666.010396,0.5444444444444445
50,4860189167.899835,0.5555555555555556
51,4859250405.158063,0.5666666666666667
52,4858034577.608201,0.5777777777777778
53,4856837498.383995,0.5888888888888889
54,4855714439.888845,0.6
55,4854813745.383746,0.6111111111111112
56,4854113288.260752,0.6222222222222222
57,4853621912.882319,0.6333333333333333
58,4853514774.293454,0.6444444444444445
59,4853772165.1199045,0.6555555555555556
60,4854275652.42501,0.6666666666666667
61,4854825254.666589,0.6777777777777778
62,4855211624.868851,0.6888888888888889
63,4855476677.771066,0.7000000000000001
64,4855835460.90391,0.7111111111111111
65,4856421838.859658,0.7222222222222222
66,4857105312.537469,0.7333333333333334
67,4857799207.1788435,0.7444444444444445
68,4858642783.245367,0.7555555555555555
69,4859462503.253879,0.7666666666666667
70,4860551890.957383,0.7777777777777778
71,4861672778.568901,0.788888888888889
72,4862684053.902246,0.8
73,4863597247.93885,0.8111111111111111
74,4864485014.595312,0.8222222222222223
75,4865232258.067864,0.8333333333333334
76,4865907961.367377,0.8444444444444444
77,4866779268.197466,0.8555555555555556
78,4867725924.657946,0.8666666666666667
79,4868706971.939192,0.8777777777777778
80,4869330132.322125,0.888888888888889
81,4869461944.992653,0.9
82,4869062570.883453,0.9111111111111111
83,4868543085.616418,0.9222222222222223
84,4867875884.691576,0.9333333333333333
85,4866915921.392456,0.9444444444444445
86,4866026623.25119,0.9555555555555556
87,4865355835.568971,0.9666666666666667
88,4864897011.940565,0.9777777777777779
89,4864561880.432568,0.9888888888888889
