,y,x
0,4776846512.70347,0.0
1,4776393699.58884,0.011111111111111112
2,4775997982.303636,0.022222222222222223
3,4775406162.647961,0.03333333333333333
4,4774462069.091466,0.044444444444444446
5,4773721601.418258,0.05555555555555556
6,4773063646.657414,0.06666666666666667
7,4772591031.984078,0.07777777777777778
8,4772201691.672624,0.08888888888888889
9,4772094388.657761,0.1
10,4772120556.937564,0.11111111111111112
11,4772237202.7372265,0.12222222222222223
12,4772582948.60273,0.13333333333333333
13,4772999135.313914,0.14444444444444446
14,4773561993.893175,0.15555555555555556
15,4773939159.003367,0.16666666666666669
16,4774147177.067459,0.17777777777777778
17,4774376272.438137,0.18888888888888888
18,4774573527.617038,0.2
19,4774746264.481536,0.2111111111111111
20,4774835978.951662,0.22222222222222224
21,4774903932.7986,0.23333333333333334
22,4774799543.195888,0.24444444444444446
23,4774812615.617655,0.2555555555555556
24,4774929172.650345,0.26666666666666666
25,4774945494.444531,0.2777777777777778
26,4774853985.239067,0.2888888888888889
27,4774621643.802083,0.3
28,4774391270.358141,0.3111111111111111
29,4774196830.549714,0.32222222222222224
30,4774107364.743156,0.33333333333333337
31,4773978105.594942,0.34444444444444444
32,4773752197.441857,0.35555555555555557
33,4773540990.464019,0.3666666666666667
34,4773265104.647803,0.37777777777777777
35,4773150290.121569,0.3888888888888889
36,4772847950.573301,0.4
37,4772690535.671868,0.41111111111111115
38,4772517858.3074045,0.4222222222222222
39,4772374578.5536375,0.43333333333333335
40,4772431829.51542,0.4444444444444445
41,4772618941.542359,0.45555555555555555
42,4772747988.495159,0.4666666666666667
43,4773220904.709308,0.4777777777777778
44,4773653745.529086,0.48888888888888893
45,4774246065.277525,0.5
46,4774984342.012386,0.5111111111111112
47,4775800964.055123,0.5222222222222223
48,4776401326.916683,0.5333333333333333
49,4776730883.822285,0.5444444444444445
50,4777155620.997536,0.5555555555555556
51,4777541111.627308,0.5666666666666667
52,4777953855.231397,0.5777777777777778
53,4778394249.672622,0.5888888888888889
54,4778819941.437006,0.6
55,4779387937.409657,0.6111111111111112
56,4779818832.9904375,0.6222222222222222
57,4780325935.183527,0.6333333333333333
58,4780714803.336294,0.6444444444444445
59,4781014248.176242,0.6555555555555556
60,4781194863.643315,0.6666666666666667
61,4781375907.91802,0.6777777777777778
62,4781649238.636895,0.6888888888888889
63,4781849877.570166,0.7000000000000001
64,4782285039.590554,0.7111111111111111
65,4782829003.246867,0.7222222222222222
66,4783267561.711369,0.7333333333333334
67,4783595949.149214,0.7444444444444445
68,4783900743.894989,0.7555555555555555
69,4784049911.978635,0.7666666666666667
70,4784147960.465875,0.7777777777777778
71,4784079898.873992,0.788888888888889
72,4783762320.237907,0.8
73,4783492724.493631,0.8111111111111111
74,4783190998.556342,0.8222222222222223
75,4782813000.568975,0.8333333333333334
76,4782295920.202107,0.8444444444444444
77,4781722762.306525,0.8555555555555556
78,4781073392.581779,0.8666666666666667
79,4780666119.5069895,0.8777777777777778
80,4780295827.805997,0.888888888888889
81,4779933982.313797,0.9
82,4779578469.196079,0.9111111111111111
83,4779215105.14414,0.9222222222222223
84,4778814599.572317,0.9333333333333333
85,4778468881.392403,0.9444444444444445
86,4778086904.381,0.9555555555555556
87,4777826505.69405,0.9666666666666667
88,4777508686.743913,0.9777777777777779
89,4777196217.261273,0.9888888888888889
